Date,InterTourismeReceipts,REER,Oil_price,FDI,Poverty_rate,GDP_Construction,Year,Month,Nights,is_covid,Arrivals,Total_Receipts_MDH
2003-01-01,3802000000.0,108.88604,26.652582781456957,2312829700.0,13.0,,2003,1,,0,323001.0353855946,1919.547584573769
2003-02-01,3864679452.054794,108.72467905479452,27.096026490066222,2192269060.821918,12.915068493150685,,2003,2,,0,347256.8060188827,2900.3398322899607
2003-03-01,3921293150.684932,108.5789336849315,27.49655629139073,2083375580.2739725,12.838356164383562,,2003,3,,0,338748.1688187494,3828.546007438105
2003-04-01,3983972602.739726,108.41757273972604,27.94,1962814941.0958903,12.753424657534246,,2003,4,,0,371285.8846949119,3455.927333625494
2003-05-01,4044630136.986301,108.26141698630136,23.79,1846143354.7945209,12.67123287671233,,2003,5,,0,399379.8849798667,2369.0392629210387
2003-06-01,4107309589.041096,108.10005604109588,26.097213114754098,1725582715.6164384,12.586301369863014,,2003,6,,0,459686.7455143899,3244.217937229325
2003-07-01,4167967123.287671,107.94390028767124,28.33,1608911129.3150685,12.504109589041096,,2003,7,,0,758834.985237614,3929.986686969596
2003-08-01,4230646575.342466,107.78253934246575,29.63,1488350490.1369865,12.41917808219178,,2003,8,,0,490614.366428559,3521.157345921275
2003-09-01,4293326027.39726,107.62117839726028,29.64,1367789850.9589045,12.334246575342464,,2003,9,,0,343934.7898587962,4038.5663396412856
2003-10-01,4353983561.643836,107.4650226438356,27.98,1251118264.657534,12.252054794520548,,2003,10,,0,402176.9496581497,2613.825158696541
2003-11-01,4416663013.69863,107.30366169863014,28.07655737704918,1130557625.479452,12.167123287671233,,2003,11,,0,314760.7869477532,2710.529795456036
2003-12-01,4477320547.945206,107.14750594520548,28.17,1013886039.1780822,12.084931506849315,,2003,12,,0,440283.19542660937,2236.039515855931
2004-01-01,4540000000.0,106.986145,29.931208791208796,893325400.0,12.0,,2004,1,,0,374516.6236887503,3715.149911999625
2004-02-01,4615043715.846994,106.73713580601093,31.692417582417583,959160955.4644808,11.915300546448089,,2004,2,,0,399902.6005428291,2736.8955656761545
2004-03-01,4685245901.639344,106.50419172131149,33.34,1020749055.7377048,11.836065573770492,,2004,3,,0,407543.2477828909,3768.124083666411
2004-04-01,4760289617.486339,106.2551825273224,32.59,1086584611.202186,11.75136612021858,,2004,4,,0,439163.28154540714,4316.025748462285
2004-05-01,4832912568.306011,106.01420588797814,35.76704918032787,1150296439.0710382,11.669398907103826,,2004,5,,0,426778.0358703303,3904.883244951717
2004-06-01,4907956284.153006,105.76519669398908,39.05,1216131994.5355191,11.584699453551911,,2004,6,,0,533758.0156277328,4263.563453473983
