Date,InterTourismeReceipts,REER,Oil_price,FDI,Poverty_rate,GDP_Construction
1993-12-01,1469000000.0,105.65668309589041,14.43,545874469.5342466,14.957534246575342,
1994-01-01,1469000000.0,105.9345,14.73,550924350.0,15.0,
1994-02-01,1469000000.0,106.22676375342466,15.03,532565890.9589041,15.042465753424658,
1994-03-01,1469000000.0,106.49074391780822,13.45,515984056.98630136,15.080821917808219,
1994-04-01,1469000000.0,106.78300767123288,14.444021739130434,497625597.94520545,15.123287671232877,
1994-05-01,1469000000.0,107.06584356164383,15.405978260869563,479859347.260274,15.164383561643836,
1994-06-01,1469000000.0,107.3581073150685,16.4,461500888.2191781,15.206849315068492,
1994-07-01,1469000000.0,107.64094320547945,17.65,443734637.53424656,15.247945205479452,
1994-08-01,1469000000.0,107.93320695890411,19.03,425376178.4931507,15.29041095890411,
1994-09-01,1469000000.0,108.22547071232877,16.03,407017719.4520548,15.332876712328767,
1994-10-01,1469000000.0,108.50830660273972,16.70377049180328,389251468.7671233,15.373972602739727,
1994-11-01,1469000000.0,108.80057035616439,17.4,370893009.72602737,15.416438356164383,
1994-12-01,1469000000.0,109.08340624657534,16.98,353126759.0410959,15.457534246575342,
1995-01-01,1469000000.0,109.37567,17.015,334768300.0,15.5,
1995-02-01,1501953424.6575344,109.4047208219178,17.05,336689917.8082192,15.542465753424658,
1995-03-01,1531717808.2191782,109.4309602739726,16.85,338425572.60273975,15.580821917808219,
1995-04-01,1564671232.8767123,109.46001109589041,18.135737704918032,340347190.4109589,15.623287671232877,
1995-05-01,1596561643.8356164,109.48812479452054,19.38,342206820.5479452,15.664383561643836,
1995-06-01,1629515068.4931507,109.51717561643835,17.7,344128438.3561644,15.706849315068492,
1995-07-01,1661405479.4520547,109.54528931506849,16.913114754098363,345988068.4931507,15.747945205479452,
1995-08-01,1694358904.109589,109.57434013698631,16.1,347909686.30136985,15.79041095890411,
1995-09-01,1727312328.7671232,109.60339095890411,16.25,349831304.10958904,15.832876712328767,
1995-10-01,1759202739.7260275,109.63150465753425,16.38770491803279,351690934.24657536,15.873972602739727,
1995-11-01,1792156164.3835616,109.66055547945206,16.53,353612552.05479455,15.916438356164383,
1995-12-01,1824046575.3424659,109.6886691780822,17.18,355472182.1917808,15.957534246575342,
1996-01-01,1857000000.0,109.71772,16.98,357393800.0,16.0,
1996-02-01,1839382513.6612022,109.68616267759563,16.78,418542358.7431694,16.0,
1996-03-01,1822901639.3442624,109.65664131147541,18.55,475745849.1803279,16.0,
1996-04-01,1805284153.0054646,109.62508398907104,20.8,536894407.9234973,16.0,
1996-05-01,1788234972.6775956,109.59454464480875,18.95,596070432.5136611,16.0,
1996-06-01,1770617486.3387978,109.56298732240437,19.36672131147541,657218991.2568307,16.0,
1996-07-01,1753568306.0109289,109.53244797814207,19.77,716395015.8469946,16.0,
1996-08-01,1735950819.672131,109.5008906557377,18.84,777543574.590164,16.0,
1996-09-01,1718333333.3333333,109.46933333333334,21.045573770491803,838692133.3333334,16.0,
1996-10-01,1701284153.0054646,109.43879398907104,23.18,897868157.9234973,16.0,
1996-11-01,1683666666.6666667,109.40723666666666,22.3,959016716.6666667,16.0,
1996-12-01,1666617486.3387978,109.37669732240437,21.47549668874172,1018192741.2568307,16.0,
1997-01-01,1649000000.0,109.34514,20.623509933774834,1079341300.0,16.0,
1997-02-01,1673205479.4520547,109.59260493150686,19.771523178807946,1013890605.9178082,16.01698630136986,
1997-03-01,1695068493.1506848,109.81612164383561,19.001986754966886,954773849.9726027,16.03232876712329,
1997-04-01,1719273972.6027398,110.06358657534247,18.15,889323155.8904109,16.04931506849315,
1997-05-01,1742698630.1369863,110.30306876712329,18.24,825983774.5205479,16.065753424657533,
1997-06-01,1766904109.589041,110.55053369863013,18.60728260869565,760533080.4383562,16.0827397260274,
1997-07-01,1790328767.1232877,110.79001589041096,18.962717391304345,697193699.0684931,16.09917808219178,
1997-08-01,1814534246.5753424,111.03748082191781,19.33,631743004.9863014,16.116164383561642,
1997-09-01,1838739726.0273972,111.28494575342467,19.604426229508196,566292310.9041096,16.133150684931508,
