lags_1,lags_2,lags_12,roll_mean_3,roll_mean_6,roll_mean_12,roll_std_3,roll_std_6,roll_std_12,growth_yoy,month_sin,month_cos,quarter,year,saison_1,saison_2,saison_3,is_summer,is_high_season,is_vacances,jours_feries_count,is_ramadan,is_special_event,Oil_price_lag1,FDI_lag1,Poverty_rate_lag1,REER_lag1,Oil_price_lag3,FDI_lag3,Poverty_rate_lag3,REER_lag3,is_covid,cdm_event,anomaly_zscore,anomaly_iforest,anomaly_prophet
264697.9723894816,251305.272716646,231475.47264366,246330.4392693979,262388.36049641843,274877.08439645875,21295.320116271672,51355.08543254372,74846.76652619037,29.80647886991109,0.8660254037844386,0.5000000000000001,1,1999,0,0,0,0,0,0,0,0,0,10.34,826974000.0,16.2,112.256256,12.127377049180328,740360377.4246576,16.2,112.25668784657532,0,0,0,0,0
260826.5318251384,264697.9723894816,218641.7393509109,258943.25897708864,245573.71428112712,277323.0059949153,6892.106978048292,18039.431305281007,73771.36102908265,12.679986715768484,1.0,6.123233995736766e-17,1,1999,1,0,0,0,0,0,0,0,0,10.81,792965664.8767123,16.166027397260272,112.4767911890411,9.87,782957240.9863014,16.2,112.25647546301369,0,0,0,0,0
271106.76220498176,260826.5318251384,266123.16896139964,265543.7554732006,253437.56549232465,281695.0912327546,5192.041595962625,16966.29565091183,71497.05643585091,23.995886151393382,0.8660254037844387,-0.4999999999999998,2,1999,1,0,0,0,1,0,0,0,0,10.52,762248458.9589041,16.135342465753425,112.67598426301367,10.34,826974000.0,16.2,112.256256,0,0,0,0,0
330174.4511683956,271106.76220498176,246630.92998304215,287369.2483995052,266849.8438344516,287032.6980833376,37425.05607517544,35311.54696241755,72611.0452922415,24.068284793454563,0.49999999999999994,-0.8660254037844387,2,1999,1,0,0,0,1,0,1,0,0,14.6,728240123.8356165,16.101369863013698,112.8965194520548,10.81,792965664.8767123,16.166027397260272,112.4767911890411,0,0,0,0,0
329170.7671916161,330174.4511683956,282686.0062791014,310150.66018833115,284546.9595827099,293911.0178507187,33816.73140151105,35539.954504110916,72344.86944894087,33.46694480463145,1.2246467991473532e-16,-1.0,2,1999,0,1,0,1,0,0,0,0,0,14.41311475409836,695328831.7808219,16.06849315068493,113.10994060273973,10.52,762248458.9589041,16.135342465753425,112.67598426301367,0,0,0,0,0
361751.38146991056,329170.7671916161,478637.5325608809,340365.53327664075,302954.6443749207,300499.79911661946,18527.485598171937,42750.1992686594,74788.76378889954,27.969327605394923,-0.4999999999999997,-0.8660254037844388,3,1999,0,1,0,1,1,1,1,0,0,14.22,661320496.6575342,16.034520547945206,113.3304757917808,14.6,728240123.8356165,16.101369863013698,112.8965194520548,0,0,0,1,0
613404.1458104744,361751.38146991056,361714.4091168863,434775.431490667,361072.3399450861,311730.35022075224,155552.36189575584,129450.54534254705,107106.37271839488,28.156298677319402,-0.8660254037844385,-0.5000000000000004,3,1999,0,1,0,1,1,1,3,0,0,17.25,628409204.6027397,16.001643835616438,113.54389694246576,14.41311475409836,695328831.7808219,16.06849315068493,113.10994060273973,0,0,0,0,0
409395.4876488774,613404.1458104744,223923.6549377964,461517.0049764207,385833.83258237597,315703.7734317515,133677.8511065158,120328.16287140413,109975.2623699641,13.18196824074629,-1.0,-1.8369701987210297e-16,3,1999,0,0,1,0,0,0,0,0,0,19.175,594400869.479452,15.967671232876713,113.76443213150684,14.22,661320496.6575342,16.034520547945206,113.3304757917808,0,0,0,0,0
260351.94783616255,409395.4876488774,249700.781115634,427717.1937651714,384041.3635209061,318739.46450661536,177237.77055098044,122440.56431599802,107690.54616612564,16.268175378115156,-0.8660254037844386,0.5000000000000001,4,1999,0,0,1,0,1,0,0,0,0,21.1,560392534.3561645,15.933698630136986,113.98496732054794,17.25,628409204.6027397,16.001643835616438,113.54389694246576,0,0,0,1,0
317825.37316873734,260351.94783616255,222988.07270206616,329190.93621792574,381983.18385429634,324416.5138443739,75168.98434557224,123625.20411371253,105493.44665452253,27.282490566801837,-0.5000000000000004,0.8660254037844384,4,1999,0,0,1,0,0,0,2,0,0,22.98,527481242.30136985,15.90082191780822,114.19838847123287,19.175,594400869.479452,15.967671232876713,113.76443213150684,0,0,0,1,0
